id_unidad,clues,clave_presupuestal,nombre_corto,camas_censables_adultos_cirugia,camas_censables_adultos_medicina_interna,camas_censables_adultos_gineco_obstetricia,camas_censables_adultos_total,camas_censables_pediatria_camas,camas_censables_pediatria_cunas,camas_censables_pediatria_incubadoras,camas_censables_pediatria_total,camas_censables_total,camas_transito_urgencias_adultos,camas_transito_urgencias_pediatria,camas_transito_trabajo_de_parto,camas_transito_cuidados_intensivos,camas_transito_recuperacion,camas_transito_cunas,camas_transito_otras,camas_transito_total
U_ISSSTE_01,ASIST000016,001-204-00,HG Aguascalientes,26,32,8,66,5,0,0,5,71,11,4,4,10,18,0,13,60
U_ISSSTE_02,ASIST000021,001-205-00,CMF Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_03,ASIST000050,001-205-01,UMF Calvillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_04,ASIST000033,001-205-03,UMF Pabellón de Arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_05,ASIST000045,001-205-04,UMF Rincón de Romos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_06,ASIST000074,001-205-05,UMF Villa Juárez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_07,ASIST000103,001-205-08,CAF San José de Gracia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_08,ASIST000115,001-205-09,CAF Cosío,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_09,ASIST000120,001-205-10,CAF Palo Alto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_10,ASIST000131,001-205-11,CAF San Francisco de los Romo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_11,ASIST000062,001-206-00,CMF Ojocaliente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_12,BCIST000040,002-204-00,"HG 5 de Diciembre, Mexicali",24,24,10,58,4,5,0,9,67,6,2,2,3,7,0,20,40
U_ISSSTE_13,BCIST000076,002-204-01,UMF Los Algodones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_14,BCIST000052,002-204-02,CAF Estación Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_15,BCIST000064,002-204-03,UMF San Felipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_16,BCIST000011,002-206-00,CH Ensenada,10,12,4,26,1,2,1,4,30,7,0,2,2,2,0,5,18
U_ISSSTE_17,BCIST000023,002-206-02,CAF Isla de Cedros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_18,BCIST000035,002-206-03,UMF San Quintín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
U_ISSSTE_19,BCIST000105,002-206-04,CAF San Vicente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_20,BCIST000110,002-206-05,CAF Valle de la Trinidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_21,BCIST000122,002-206-08,CAF El Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_22,BCIST000146,002-208-00,CMF Mesa de Otay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_23,BCIST000093,002-209-00,"HG Fray Junípero Serra, Tijuana",14,18,5,37,1,2,1,4,41,6,2,4,2,2,2,9,27
U_ISSSTE_24,BCIST000134,002-209-01,CAF Rosarito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_25,BCIST000081,002-209-02,UMF Tecate,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
U_ISSSTE_26,BSIST000014,003-205-00,CH Cd. Constitución,6,6,5,17,2,1,0,3,20,3,2,2,0,2,0,1,10
U_ISSSTE_27,BSIST000113,003-205-01,UMF Loreto,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
U_ISSSTE_28,BSIST000130,003-205-02,CAF Puerto Adolfo López Mateos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_29,BSIST000031,003-205-03,UMF Puerto San Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
U_ISSSTE_30,BSIST000166,003-205-04,CAF San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_31,BSIST000142,003-205-05,CAF San José de Comondú,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_32,BSIST000026,003-205-06,UMF Villa Insurgentes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
U_ISSSTE_33,BSIST000154,003-205-07,CAF Ignacio Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_34,BSIST000043,003-206-00,CH Santa Rosalía,2,3,2,7,2,0,1,3,10,4,0,0,0,0,0,0,4
U_ISSSTE_35,BSIST000171,003-206-01,CAF Bahía Asunción,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_36,BSIST000183,003-206-02,CAF Bahía Tortugas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_37,BSIST000055,003-206-03,UMF Guerrero Negro,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
U_ISSSTE_38,BSIST000195,003-206-04,CAF Mulegé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_39,BSIST000200,003-206-05,CAF Punta Abreojos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_40,BSIST000212,003-206-06,CAF San Ignacio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_41,BSIST000060,003-206-07,UMF Sebastián Vizcaíno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_42,BSIST000330,003-207-00,HG La Paz,35,35,11,81,8,1,0,9,90,16,4,3,4,6,4,6,43
U_ISSSTE_43,BSIST000270,003-207-02,CAF El Pescadero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_44,BSIST000265,003-207-03,"CAF UH. FOVISSSTE Catra, La Paz.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_45,BSIST000294,003-207-04,CAF La Ribera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_46,BSIST000241,003-207-05,CAF Los Barriles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_47,BSIST000306,003-207-06,CAF San Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_48,BSIST000282,003-207-07,CAF Miraflores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_49,BSIST000236,003-207-09,CAF San Juan de los Planes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_50,BSIST000311,003-207-10,CAF Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_51,BSIST000084,003-207-11,UMF Todos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_52,BSIST000224,003-207-12,"CAF UH. FOVISSSTE Cihuatán Costa Azul, La Paz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_53,BSIST000253,003-207-13,CAF Las Pocitas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_54,BSIST000101,003-208-00,CH San José del Cabo,3,2,2,7,3,0,0,3,10,4,2,2,0,4,0,0,12
U_ISSSTE_55,BSIST000321,003-209-00,CMF La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_56,BSIST000352,003-211-00,CH Cabo San Lucas,6,6,5,17,3,0,0,3,20,6,3,2,0,4,0,7,22
U_ISSSTE_57,CCIST000021,004-204-00,"CH Dr. Patricio Trueba Regil, Camp.",12,10,10,32,6,0,0,6,38,11,2,3,0,10,4,11,41
U_ISSSTE_58,CCIST000016,004-204-01,UMF Calkiní,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_59,CCIST000086,004-204-02,CAF Candelaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_60,CCIST000045,004-204-03,UMF Champotón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_61,CCIST000074,004-204-04,UMF Escárcega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
U_ISSSTE_62,CCIST000050,004-204-05,UMF Hecelchakán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_63,CCIST000062,004-204-06,UMF Hopelchén,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_64,CCIST000091,004-204-07,CAF Seybaplaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_65,CCIST000115,004-204-08,CAF Tenabo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_66,CCIST000033,004-205-00,CH Cd. del Carmen,4,3,2,9,1,0,0,1,10,1,0,0,0,1,2,9,13
U_ISSSTE_67,CCIST000103,004-205-01,CAF Palizada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_68,CLIST000065,005-206-00,CH Monclova,3,5,4,12,2,3,2,7,19,6,4,3,0,2,5,3,23
