id_unidad,clues,clave_presupuestal,nombre_corto,derechohabientes_primer_nivel,derechohabientes_segundo_nivel,derechohabientes_tercer_nivel
U_ISSSTE_01,ASIST000016,001-204-00,HG Aguascalientes,No aplica,"179,549",No aplica
U_ISSSTE_02,ASIST000021,001-205-00,CMF Aguascalientes,"87,196",No aplica,No aplica
U_ISSSTE_03,ASIST000050,001-205-01,UMF Calvillo,"4,187",No aplica,No aplica
U_ISSSTE_04,ASIST000033,001-205-03,UMF Pabellón de Arteaga,"9,147",No aplica,No aplica
U_ISSSTE_05,ASIST000045,001-205-04,UMF Rincón de Romos,"11,054",No aplica,No aplica
U_ISSSTE_06,ASIST000074,001-205-05,UMF Villa Juárez,"5,427",No aplica,No aplica
U_ISSSTE_07,ASIST000103,001-205-08,CAF San José de Gracia,"1,713",No aplica,No aplica
U_ISSSTE_08,ASIST000115,001-205-09,CAF Cosío,"1,840",No aplica,No aplica
U_ISSSTE_09,ASIST000120,001-205-10,CAF Palo Alto,"1,765",No aplica,No aplica
U_ISSSTE_10,ASIST000131,001-205-11,CAF San Francisco de los Romo,"2,804",No aplica,No aplica
U_ISSSTE_11,ASIST000062,001-206-00,CMF Ojocaliente,"49,866",No aplica,No aplica
U_ISSSTE_12,BCIST000040,002-204-00,"HG 5 de Diciembre, Mexicali","74,069","83,730",No aplica
U_ISSSTE_13,BCIST000076,002-204-01,UMF Los Algodones,"2,711",No aplica,No aplica
U_ISSSTE_14,BCIST000052,002-204-02,CAF Estación Delta,"5,677",No aplica,No aplica
U_ISSSTE_15,BCIST000064,002-204-03,UMF San Felipe,"1,273",No aplica,No aplica
U_ISSSTE_16,BCIST000011,002-206-00,CH Ensenada,"37,370","45,091",No aplica
U_ISSSTE_17,BCIST000023,002-206-02,CAF Isla de Cedros,324,No aplica,No aplica
U_ISSSTE_18,BCIST000035,002-206-03,UMF San Quintín,"6,740",No aplica,No aplica
U_ISSSTE_19,BCIST000105,002-206-04,CAF San Vicente,327,No aplica,No aplica
U_ISSSTE_20,BCIST000110,002-206-05,CAF Valle de la Trinidad,120,No aplica,No aplica
U_ISSSTE_21,BCIST000122,002-206-08,CAF El Rosario,210,No aplica,No aplica
U_ISSSTE_22,BCIST000146,002-208-00,CMF Mesa de Otay,"84,753",No aplica,No aplica
U_ISSSTE_23,BCIST000093,002-209-00,"HG Fray Junípero Serra, Tijuana",No aplica,"97,722",No aplica
U_ISSSTE_24,BCIST000134,002-209-01,CAF Rosarito,"5,020",No aplica,No aplica
U_ISSSTE_25,BCIST000081,002-209-02,UMF Tecate,"7,949",No aplica,No aplica
U_ISSSTE_26,BSIST000014,003-205-00,CH Cd. Constitución,"16,214","26,833",No aplica
U_ISSSTE_27,BSIST000113,003-205-01,UMF Loreto,"6,645",No aplica,No aplica
U_ISSSTE_28,BSIST000130,003-205-02,CAF Puerto Adolfo López Mateos,396,No aplica,No aplica
U_ISSSTE_29,BSIST000031,003-205-03,UMF Puerto San Carlos,577,No aplica,No aplica
U_ISSSTE_30,BSIST000166,003-205-04,CAF San Isidro,427,No aplica,No aplica
U_ISSSTE_31,BSIST000142,003-205-05,CAF San José de Comondú,42,No aplica,No aplica
U_ISSSTE_32,BSIST000026,003-205-06,UMF Villa Insurgentes,"2,192",No aplica,No aplica
U_ISSSTE_33,BSIST000154,003-205-07,CAF Ignacio Zaragoza,382,No aplica,No aplica
U_ISSSTE_34,BSIST000043,003-206-00,CH Santa Rosalía,"7,948","16,111",No aplica
U_ISSSTE_35,BSIST000171,003-206-01,CAF Bahía Asunción,377,No aplica,No aplica
U_ISSSTE_36,BSIST000183,003-206-02,CAF Bahía Tortugas,523,No aplica,No aplica
U_ISSSTE_37,BSIST000055,003-206-03,UMF Guerrero Negro,"2,735",No aplica,No aplica
U_ISSSTE_38,BSIST000195,003-206-04,CAF Mulegé,"1,058",No aplica,No aplica
U_ISSSTE_39,BSIST000200,003-206-05,CAF Punta Abreojos,411,No aplica,No aplica
U_ISSSTE_40,BSIST000212,003-206-06,CAF San Ignacio,751,No aplica,No aplica
U_ISSSTE_41,BSIST000060,003-206-07,UMF Sebastián Vizcaíno,"2,308",No aplica,No aplica
U_ISSSTE_42,BSIST000330,003-207-00,HG La Paz,No aplica,"98,401",No aplica
U_ISSSTE_43,BSIST000270,003-207-02,CAF El Pescadero,176,No aplica,No aplica
U_ISSSTE_44,BSIST000265,003-207-03,"CAF UH. FOVISSSTE Catra, La Paz.","50,592",No aplica,No aplica
U_ISSSTE_45,BSIST000294,003-207-04,CAF La Ribera,703,No aplica,No aplica
U_ISSSTE_46,BSIST000241,003-207-05,CAF Los Barriles,385,No aplica,No aplica
U_ISSSTE_47,BSIST000306,003-207-06,CAF San Antonio,454,No aplica,No aplica
U_ISSSTE_48,BSIST000282,003-207-07,CAF Miraflores,985,No aplica,No aplica
U_ISSSTE_49,BSIST000236,003-207-09,CAF San Juan de los Planes,703,No aplica,No aplica
U_ISSSTE_50,BSIST000311,003-207-10,CAF Santiago,"1,337",No aplica,No aplica
U_ISSSTE_51,BSIST000084,003-207-11,UMF Todos Santos,"1,601",No aplica,No aplica
U_ISSSTE_52,BSIST000224,003-207-12,"CAF UH. FOVISSSTE Cihuatán Costa Azul, La Paz","4,270",No aplica,No aplica
U_ISSSTE_53,BSIST000253,003-207-13,CAF Las Pocitas,215,No aplica,No aplica
U_ISSSTE_54,BSIST000101,003-208-00,CH San José del Cabo,"22,779","25,804",No aplica
U_ISSSTE_55,BSIST000321,003-209-00,CMF La Paz,"41,740",No aplica,No aplica
U_ISSSTE_56,BSIST000352,003-211-00,CH Cabo San Lucas,"16,174","17,951",No aplica
U_ISSSTE_57,CCIST000021,004-204-00,"CH Dr. Patricio Trueba Regil, Camp.","56,523","96,324",No aplica
U_ISSSTE_58,CCIST000016,004-204-01,UMF Calkiní,"15,951",No aplica,No aplica
U_ISSSTE_59,CCIST000086,004-204-02,CAF Candelaria,"1,033",No aplica,No aplica
U_ISSSTE_60,CCIST000045,004-204-03,UMF Champotón,"3,204",No aplica,No aplica
U_ISSSTE_61,CCIST000074,004-204-04,UMF Escárcega,"6,391",No aplica,No aplica
U_ISSSTE_62,CCIST000050,004-204-05,UMF Hecelchakán,"6,981",No aplica,No aplica
U_ISSSTE_63,CCIST000062,004-204-06,UMF Hopelchén,"3,253",No aplica,No aplica
U_ISSSTE_64,CCIST000091,004-204-07,CAF Seybaplaya,"1,906",No aplica,No aplica
U_ISSSTE_65,CCIST000115,004-204-08,CAF Tenabo,"1,082",No aplica,No aplica
U_ISSSTE_66,CCIST000033,004-205-00,CH Cd. del Carmen,"14,416","14,871",No aplica
U_ISSSTE_67,CCIST000103,004-205-01,CAF Palizada,455,No aplica,No aplica
U_ISSSTE_68,CLIST000065,005-206-00,CH Monclova,"40,386","47,788",No aplica
U_ISSSTE_69,CLIST000210,005-206-01,CAF Castaños,"1,659",No aplica,No aplica
U_ISSSTE_70,CLIST000036,005-206-02,UMF Cuatrociénegas de Carranza,"1,940",No aplica,No aplica
U_ISSSTE_71,CLIST000321,005-206-03,CAF La Esmeralda,100,No aplica,No aplica
U_ISSSTE_72,CLIST000251,005-206-04,CAF Ocampo,268,No aplica,No aplica
U_ISSSTE_73,CLIST000304,005-206-05,CAF San Buenaventura,"3,535",No aplica,No aplica
U_ISSSTE_74,CLIST000094,005-207-00,CH Piedras Negras,"24,932","44,251",No aplica
U_ISSSTE_75,CLIST000024,005-207-01,UMF Cd. Allende,"2,741",No aplica,No aplica
U_ISSSTE_76,CLIST000135,005-207-03,UMF Zaragoza,"1,602",No aplica,No aplica
U_ISSSTE_77,CLIST000012,005-208-00,CMF Cd. Acuña,"14,976",No aplica,No aplica
U_ISSSTE_78,CLIST000193,005-209-00,"CH Dr. Francisco Z Cruz, Nueva Rosita","8,749","14,321",No aplica
U_ISSSTE_79,CLIST000070,005-209-01,UMF Cd. Melchor Muzquiz,"5,572",No aplica,No aplica
