id_unidad,clues,clave_presupuestal,nombre_corto,consultorio_medicina_general_o_familiar,consultorio_especialidad,consultorio_odontologia,consultorio_urgencias,consultorio_otros,consultorio_total,laboratorio_analisis_clinicos,laboratorio_areas_criticas,laboratorio_central,laboratorio_patologico,laboratorio_pruebas_especiales,laboratorio_urgencias,laboratorio_total,sala_urgencias,sala_expulsion,sala_dialisis,sala_hemodialisis,sala_cuidados_intensivos,sala_unidad_de_quemados,sala_patologia,sala_hemodinamia,sala_quimioterapia,sala_total,banco_leche,banco_sangre,quirofano,farmacia,stock_farmacia
U_ISSSTE_01,ASIST000016,001-204-00,HG Aguascalientes,0,21,1,4,2,28,1,0,0,1,0,0,2,1,1,1,1,2,0,0,0,1,7,0,1,5,1,0
U_ISSSTE_02,ASIST000021,001-205-00,CMF Aguascalientes,9,3,2,0,7,21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_03,ASIST000050,001-205-01,UMF Calvillo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_04,ASIST000033,001-205-03,UMF Pabellón de Arteaga,2,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_05,ASIST000045,001-205-04,UMF Rincón de Romos,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_06,ASIST000074,001-205-05,UMF Villa Juárez,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_07,ASIST000103,001-205-08,CAF San José de Gracia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_08,ASIST000115,001-205-09,CAF Cosío,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_09,ASIST000120,001-205-10,CAF Palo Alto,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_10,ASIST000131,001-205-11,CAF San Francisco de los Romo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U_ISSSTE_11,ASIST000062,001-206-00,CMF Ojocaliente,11,1,2,0,3,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
U_ISSSTE_12,BCIST000040,002-204-00,"HG 5 de Diciembre, Mexicali",6,15,1,2,0,24,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,5,1,1,2,1,1
