id_unidad,clues,clave_presupuestal,nombre_corto,personal_medico_general_familiar,personal_medico_gineco_obstetra,personal_medico_pediatra,personal_medico_odontologo,personal_medico_cirujano,personal_medico_internista,personal_medico_anestesiologo,personal_medico_geriatra,personal_medico_oncologos,personal_medico_traumatologia_y_ortopedia,personal_medico_otras_especialidades,personal_medico_otras_labores,personal_medico_etapa_aprendizaje_residentes,personal_medico_etapa_aprendizaje_internos,personal_medico_etapa_aprendizaje_pasantes,personal_medico_total,personal_enfermeria_general,personal_enfermeria_especialista,personal_enfermeria_auxiliar,personal_enfermeria_pasante,personal_enfermeria_total,personal_paramedico_laboratorista,personal_paramedico_rayos_x,personal_paramedico_quimicos,personal_paramedico_trabajo_social,personal_paramedico_otros,personal_paramedico_total,personal_administrativo,personal_servicios_generales,personal_total
U_ISSSTE_01,ASIST000016,001-204-00,HG Aguascalientes,30,9,12,2,18,16,20,0,3,12,37,26,2,10,0,197,141,95,38,4,278,20,14,5,7,48,94,110,54,733
U_ISSSTE_02,ASIST000021,001-205-00,CMF Aguascalientes,22,0,0,3,0,0,0,0,0,0,0,1,0,0,0,26,4,2,10,0,16,0,2,0,0,13,15,17,0,74
U_ISSSTE_03,ASIST000050,001-205-01,UMF Calvillo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,2,0,5
U_ISSSTE_04,ASIST000033,001-205-03,UMF Pabellón de Arteaga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,2,1,6
U_ISSSTE_05,ASIST000045,001-205-04,UMF Rincón de Romos,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,5
U_ISSSTE_06,ASIST000074,001-205-05,UMF Villa Juárez,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
U_ISSSTE_07,ASIST000103,001-205-08,CAF San José de Gracia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,4
U_ISSSTE_08,ASIST000115,001-205-09,CAF Cosío,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,3
U_ISSSTE_09,ASIST000120,001-205-10,CAF Palo Alto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3
U_ISSSTE_10,ASIST000131,001-205-11,CAF San Francisco de los Romo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,4
U_ISSSTE_11,ASIST000062,001-206-00,CMF Ojocaliente,18,0,0,3,0,0,0,0,0,0,0,2,0,0,0,23,10,2,9,0,21,2,3,2,1,3,11,26,0,81
U_ISSSTE_12,BCIST000040,002-204-00,"HG 5 de Diciembre, Mexicali",40,7,8,3,19,6,13,0,3,7,30,16,36,6,0,194,90,46,66,0,202,14,9,6,5,49,83,96,40,615
U_ISSSTE_13,BCIST000076,002-204-01,UMF Los Algodones,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,1,0,6
U_ISSSTE_14,BCIST000052,002-204-02,CAF Estación Delta,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,6,0,0,0,0,0,0,1,0,12
U_ISSSTE_15,BCIST000064,002-204-03,UMF San Felipe,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,7
U_ISSSTE_16,BCIST000011,002-206-00,CH Ensenada,22,6,6,5,8,3,10,1,0,5,12,12,0,0,0,90,45,20,42,0,107,13,8,2,1,37,61,58,26,342
U_ISSSTE_17,BCIST000023,002-206-02,CAF Isla de Cedros,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
U_ISSSTE_18,BCIST000035,002-206-03,UMF San Quintín,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,9,0,10,0,0,0,0,0,0,3,1,23
