id_unidad,clues,clave_presupuestal,nombre_corto,servicio_medicina_general,servicio_gineco_obstetria,servicio_pediatria,servicio_geriatria,servicio_oncologia,servicio_traumatologia_ortopedia,servicio_odontologia,servicio_urgencias,servicio_hemodialisis,servicio_hemodinamia,servicio_quimioterapia,servicio_banco_sangre,servicio_rayos_x,servicio_quirofano,servicio_farmacia
U_ISSSTE_01,ASIST000016,001-204-00,HG Aguascalientes,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_02,ASIST000021,001-205-00,CMF Aguascalientes,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_03,ASIST000050,001-205-01,UMF Calvillo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_04,ASIST000033,001-205-03,UMF Pabellón de Arteaga,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_05,ASIST000045,001-205-04,UMF Rincón de Romos,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_06,ASIST000074,001-205-05,UMF Villa Juárez,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_07,ASIST000103,001-205-08,CAF San José de Gracia,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_08,ASIST000115,001-205-09,CAF Cosío,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_09,ASIST000120,001-205-10,CAF Palo Alto,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_10,ASIST000131,001-205-11,CAF San Francisco de los Romo,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_11,ASIST000062,001-206-00,CMF Ojocaliente,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_12,BCIST000040,002-204-00,"HG 5 de Diciembre, Mexicali",Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_13,BCIST000076,002-204-01,UMF Los Algodones,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_14,BCIST000052,002-204-02,CAF Estación Delta,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_15,BCIST000064,002-204-03,UMF San Felipe,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_16,BCIST000011,002-206-00,CH Ensenada,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí
U_ISSSTE_17,BCIST000023,002-206-02,CAF Isla de Cedros,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_18,BCIST000035,002-206-03,UMF San Quintín,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí
U_ISSSTE_19,BCIST000105,002-206-04,CAF San Vicente,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_20,BCIST000110,002-206-05,CAF Valle de la Trinidad,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_21,BCIST000122,002-206-08,CAF El Rosario,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_22,BCIST000146,002-208-00,CMF Mesa de Otay,Sí,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí
U_ISSSTE_23,BCIST000093,002-209-00,"HG Fray Junípero Serra, Tijuana",No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
U_ISSSTE_24,BCIST000134,002-209-01,CAF Rosarito,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_25,BCIST000081,002-209-02,UMF Tecate,Sí,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,Sí
U_ISSSTE_26,BSIST000014,003-205-00,CH Cd. Constitución,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí
U_ISSSTE_27,BSIST000113,003-205-01,UMF Loreto,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí
U_ISSSTE_28,BSIST000130,003-205-02,CAF Puerto Adolfo López Mateos,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
U_ISSSTE_29,BSIST000031,003-205-03,UMF Puerto San Carlos,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No
