id_unidad,clues,clave_presupuestal,situacion_juridica_inmueble,estatus_operativo,nombre_oficial,nombre_corto,nombre_unidad,tipo_unidad,sigla_tipo,nivel_atencion,atiende_nivel_adicional,institucion,entidad,municipio,subdelegacion,tipo_vialidad,nombre_vialidad,numero_exterior,numero_interior,tipo_asentamiento,nombre_asentamiento,codigo_postal,direccion_completa,latitud,longitud,coordenadas_validadas,fuente_coordenada,Observaciones
U_ISSSTE_01,ASIST000016,001-204-00,Propia,En Operación,Hospital General Aguascalientes,HG Aguascalientes,Aguascalientes,Hospital General,HG,Segundo Nivel,No Aplica,ISSSTE,Aguascalientes,Aguascalientes,Aguascalientes,Avenida,Universidad,410,,Fraccionamiento,San Cateyano,20010,"Avenida Universidad 410, Fraccionamiento San Cateyano, Aguascalientes, Aguascalientes, CP. 20010",21.9020478937944,-102.307540484747,Validada,Anuario Estadístico 2025,
U_ISSSTE_02,ASIST000021,001-205-00,Propia,En Operación,Clínica de Medicina Familiar Aguascalientes,CMF Aguascalientes,Aguascalientes,Clínica de Medicina Familiar,CMF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,Aguascalientes,Aguascalientes,Calle,San Cosme,114,,Fraccionamiento,San Cateyano,20010,"Calle San Cosme 114, Fraccionamiento San Cateyano, Aguascalientes, Aguascalientes, CP. 20010",21.901276201078044,-102.30782894477566,Validada,Anuario Estadístico 2025,
U_ISSSTE_03,ASIST000050,001-205-01,Propia,En Operación,Unidad de Medicina Familiar Calvillo,UMF Calvillo,Calvillo,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,Calvillo,Aguascalientes,Calle,Prolongación Galeana,605,,Fraccionamiento,Independencia,20800,"Calle Prolongación Galeana 605, Fraccionamiento Independencia, Calvillo, Aguascalientes, CP. 20800",21.84510126313731,-102.73089551716593,Validada,Anuario Estadístico 2025,
U_ISSSTE_04,ASIST000033,001-205-03,Propia,En Operación,Unidad de Medicina Familiar Pabellón de Arteaga,UMF Pabellón de Arteaga,Pabellón de Arteaga,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,Pabellón de Arteaga,Aguascalientes,Avenida,Revolución,701,,Fraccionamiento,Popular,20676,"Avenida Revolución 701, Fraccionamiento Popular, Calvillo, Aguascalientes, CP. 20676",22.140917655977187,-102.27784825114561,Validada,Anuario Estadístico 2025,
U_ISSSTE_05,ASIST000045,001-205-04,Propia,En Operación,Unidad de Medicina Familiar Rincón de Romos,UMF Rincón de Romos,Rincón de Romos,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,Rincón de Romos,Aguascalientes,Calle,Delfino V. Araujo,104,,Barrio,de Guadalupe,20405,"Calle Delfino V. Araujo 104, Barrio de Guadalupe, Pabellón de Arteaga, Aguascalientes, CP. 20405",22.22915110571317,-102.31383197121681,Validada,Anuario Estadístico 2025,
U_ISSSTE_06,ASIST000074,001-205-05,Propia,En Operación,Unidad de Medicina Familiar Villa Juárez,UMF Villa Juárez,Villa Juárez,Unidad de Medicina Familiar,UMF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,Asientos,Aguascalientes,Calle,Alameda,231,,Colonia,El Rascón,20700,"Calle Alameda 231, Colonia El Rascón, Rincón de Romos, Aguascalientes, CP. 20700",22.08808335295109,-102.07357898061746,Validada,Anuario Estadístico 2025,
U_ISSSTE_07,ASIST000103,001-205-08,Convenio,En Operación,Consultorio de Atención Familiar San José de Gracia,CAF San José de Gracia,San José de Gracia,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,San José de Gracia,Aguascalientes,Calle,Juan Esteban,404,,Colonia,Las Canadas,20500,"Calle Juan Esteban 404, Colonia Las Canadas, Asientos, Aguascalientes, CP. 20500",22.15071009257827,-102.4162224307731,Validada,Anuario Estadístico 2025,
U_ISSSTE_08,ASIST000115,001-205-09,Convenio,En Operación,Consultorio de Atención Familiar Cosío,CAF Cosío,Cosío,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,Cosío,Aguascalientes,Calle,Vicente Guerrero,17,,Colonia,Centro,20460,"Calle Vicente Guerrero 17, Colonia Centro, San José de Gracia, Aguascalientes, CP. 20460",22.366517981402065,-102.30063058320708,Validada,Anuario Estadístico 2025,
U_ISSSTE_09,ASIST000120,001-205-10,Convenio,En Operación,Consultorio de Atención Familiar Palo Alto,CAF Palo Alto,Palo Alto,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,El Llano,Aguascalientes,Calle,Ignacio López Rayón,108,,Colonia,del Progreso,20330,"Calle Ignacio López Rayón 108, Colonia del Progreso, Cosío, Aguascalientes, CP. 20330",21.918267452749305,-101.96962428818654,Validada,Anuario Estadístico 2025,
U_ISSSTE_10,ASIST000131,001-205-11,Convenio,En Operación,Consultorio de Atención Familiar San Francisco de los Romo,CAF San Francisco de los Romo,San Francisco de los Romo,Consultorio de Atención Familiar,CAF,Primer Nivel,No Aplica,ISSSTE,Aguascalientes,San Francisco de los Romo,Aguascalientes,Calle,Independencia Poniente,500,,Colonia,Centro,20300,"Calle Independencia Poniente 500, Colonia Centro, El Llano, Aguascalientes, CP. 20300",22.079751712773557,-102.27566148236055,Validada,Anuario Estadístico 2025,
